lib	name
FISpgohR112563-606	YS1A
FISpgohR112564-611	YS2A
FISpgohR112565-621	YS3A
FISpgohR112566-631	YS4A
FISpgohR112567-642	YS5A
FISpgohR112568-646	YS6A
FISpgohR112569-656	YS7A
FISpgohR112570-701	YS8A
FISpgohR112571-607	YS9A
FISpgohR112572-612	YS10A
FISpgohR112573-622	YS11A
FISpgohR112574-632	YS12A
FISpgohR112575-643	YS13A
FISpgohR112576-648	YS14A
FISpgohR112577-657	YS15A
FISpgohR112578-702	YS16A
FISpgohR112579-670	YS17A
FISpgohR112580-671	YS18A
FISpgohR112581-672	YS19A
FISpgohR112582-673	YS20A
FISpgohR112583-674	YS21A
FISpgohR112584-676	YS22A
FISpgohR112585-678	YS23A
FISpgohR112586-679	YS24A
FISpgohR112587-681	YS25A
FISpgohR112588-682	YS26A
FISpgohR112589-683	YS27A
FISpgohR112590-684	YS28A
FISpgohR112591-685	YS29A
FISpgohR112592-687	YS30A
SINcmluR124625-695	HN1A
SINcmluR124626-703	HN2A
SINcmluR124627-704	HN3A
SINcmluR124628-706	HN4A
SINcmluR124629-707	HN5A
SINcmluR124630-708	HN6A
SINcmluR124631-709	HN7A
SINcmluR124632-710	HN8A
SINcmluR124633-713	HN9A
SINcmluR124634-714	HN10A
SINcmluR124635-715	HN11A
SINcmluR124636-716	HN12A
SINcmluR124637-717	HN13A
SINcmluR124638-718	HN14A
SINcmluR124639-719	HN15A
SINcmluR124640-720	HN16A
SINcmluR124641-721	HN17A
SINcmluR124642-723	HN18A
SINcmluR124643-724	HN19A
SINcmluR124644-726	HN20A
SINcmluR124645-728	HN21A
SINcmluR124651-735	HN27A
SINcmluR124652-736	HN28A
SINcmluR124653-737	HN29A
SINcmluR124654-738	HN30A
FISpgohR112624-735	TLQ1A
FISpgohR112625-736	TLQ2A
FISpgohR112626-737	TLQ3A
FISpgohR112627-738	TLQ4A
FISpgohR112628-739	TLQ5A
FISpgohR112629-740	TLQ6A
FISpgohR112630-741	TLQ7A
FISpgohR112631-742	TLQ8A
FISpgohR112632-743	TLQ9A
FISpgohR112633-744	TLQ10A
FISpgohR112634-746	TLQ11A
FISpgohR112635-747	TLQ12A
FISpgohR112636-748	TLQ13A
FISpgohR112637-749	TLQ14A
FISpgohR112638-750	TLQ15A
FISpgohR112639-751	TLQ16A
FISpgohR112640-752	TLQ17A
FISpgohR112641-753	TLQ18A
FISpgohR112642-754	TLQ19A
FISpgohR112643-755	TLQ20A
FISpgohR112654-768	CZQ1A
FISpgohR112655-769	CZQ2A
FISpgohR112656-770	CZQ3A
FISpgohR112657-771	CZQ4A
FISpgohR112658-606	CZQ5A
FISpgohR112659-611	CZQ6A
FISpgohR112660-621	CZQ7A
FISpgohR112661-631	CZQ8A
FISpgohR112662-642	CZQ9A
FISpgohR112663-646	CZQ10A
FISpgohR112664-656	CZQ11A
FISpgohR112665-701	CZQ12A
FISpgohR112666-607	CZQ13A
FISpgohR112667-612	CZQ14A
FISpgohR112668-622	CZQ15A
FISpgohR112669-632	CZQ16A
FISpgohR112670-643	CZQ17A
FISpgohR112671-648	CZQ18A
FISpgohR112673-702	CZQ19A
FISpgohR112674-670	CZQ20A
FISpgohR112675-671	CZQ21A
FISpgohR112676-672	CZQ22A
FISpgohR112677-673	CZQ23A
FISpgohR112678-674	CZQ24A
FISpgohR112679-676	CZQ25A
FISpgohR112680-678	CZQ26A
FISpgohR112681-679	CZQ27A
FISpgohR112682-681	CZQ28A
FISpgohR112683-682	CZQ29A
FISpgohR112684-683	CZQ30A
SINcmluR124646-729	HN22A
SINcmluR124647-730	HN23A
SINcmluR124648-731	HN24A
SINcmluR124649-733	HN25A
SINcmluR124650-734	HN26A
