lib	name
FISqystR254009-709	GX_1
FISqystR254010-732	GX_2
FISqystR254011-762	GX_3
FISqystR254012-608	GX_4
FISqystR254013-609	GX_5
FISqystR254014-613	GX_6
FISqystR254015-614	GX_8
FISqystR254016-623	GX_9
FISqystR254017-624	GX_10
FISqystR254018-633	GX_11
FISqystR254019-634	GX_13
FISqystR254020-645	GX_14
FISqystR254021-649	GX_16
FISqystR254022-658	GX_17
FISqystR254023-702	GX_18
FISqystR254024-708	GX_23
FISqystR254025-710	GX_24
FISqystR254026-713	GX_25
FISqystR254027-714	GX_26
FISqystR254028-716	GX_27
FISqystR254029-717	GX_28
FISqystR254030-718	GX_29
FISqystR254031-719	GX_30
FISqystR254032-720	GL_1
FISqystR254033-721	GL_2
FISqystR254034-722	GL_3
FISqystR254035-723	GL_4
FISqystR254036-724	GL_5
FISqystR254037-726	GL_8
FISqystR254038-728	GL_9
FISqystR254039-729	GL_11
FISqystR254040-730	GL_12
FISqystR254041-731	GL_13
FISqystR254042-733	GL_15
FISqystR254043-734	GL_16
FISqystR254044-735	GL_17
FISqystR254045-736	GL_19
FISqystR254046-737	GL_20
FISqystR254047-738	GL_22
FISqystR254048-739	GL_25
FISqystR254049-740	GL_26
FISqystR254050-741	GL_28
FISqystR254051-742	GL_29
FISqystR254052-743	GP_1
FISqystR254053-744	GP_2
FISqystR254054-746	GP_3
FISqystR254055-747	GP_4
FISqystR254056-748	GP_5
FISqystR254057-749	GP_6
FISqystR254058-750	GP_7
FISqystR254059-751	GP_8
FISqystR254060-752	GP_9
FISqystR254061-753	GP_10
FISqystR254062-754	GP_11
FISqystR254063-755	GP_12
FISqystR254065-757	GP_13
FISqystR254066-758	GP_14
FISqystR254067-759	GP_15
FISqystR254068-760	GP_16
FISqystR254069-761	GP_18
FISqystR254070-764	GP_19
FISqystR254071-765	GP_20
FISqystR254072-766	GP_21
FISqystR254073-767	GP_25
FISqystR254074-768	GP_27
FISqystR254075-769	GP_29
FISqystR254076-770	GX_7
FISqystR254077-771	GX_12
FISqystR254078-607	GX_15
FISqystR254079-612	GX_19
FISqystR254080-622	GX_20
FISqystR254081-632	GX_21
FISqystR254082-643	GX_22
FISqystR254083-648	GL_6
FISqystR254084-657	GL_7
FISqystR254085-704	GL_10
FISqystR254086-401	GL_14
FISqystR254087-402	GL_18
FISqystR254088-403	GL_21
FISqystR254089-404	GL_23
FISqystR254090-405	GL_24
FISqystR254091-406	GL_27
FISqystR254092-407	GL_30
FISqystR254093-409	GP_17
FISqystR254094-410	GP_22
FISqystR254095-411	GP_23
FISqystR254096-412	GP_24
FISqystR254097-413	GP_26
FISqystR254098-414	GP_28
FISqystR254099-415	GP_30
