lib	name	group
FISslxuR264758-768	YW-01-01A	YW-01
FISslxuR264759-769	YW-01-02A	YW-01
FISslxuR264760-770	YW-01-03A	YW-01
FISslxuR264761-771	YW-01-04A	YW-01
FISslxuR264762-618	YW-01-05A	YW-01
FISslxuR264763-619	YW-01-06A	YW-01
FISslxuR264764-620	YW-01-07A	YW-01
FISslxuR264765-625	YW-01-08A	YW-01
FISslxuR264766-626	YW-01-09A	YW-01
FISslxuR264767-627	YW-01-10A	YW-01
FISslxuR264768-628	YW-01-11A	YW-01
FISslxuR264769-629	YW-01-12A	YW-01
FISslxuR264770-630	YW-01-13A	YW-01
FISslxuR264771-635	YW-01-14A	YW-01
FISslxuR264772-636	YW-01-15A	YW-01
FISslxuR264773-637	YW-01-16A	YW-01
FISslxuR264774-639	YW-01-17A	YW-01
FISslxuR264775-640	YW-01-18A	YW-01
FISslxuR264776-650	YW-01-19A	YW-01
FISslxuR264777-651	YW-01-20A	YW-01
FISslxuR264778-652	YW-01-21A	YW-01
FISslxuR264779-653	YW-01-22A	YW-01
FISslxuR264780-654	YW-01-23A	YW-01
FISslxuR264781-659	YW-01-24A	YW-01
FISslxuR264782-660	YW-01-25A	YW-01
FISslxuR264783-661	YW-01-26A	YW-01
FISslxuR264784-662	YW-01-27A	YW-01
FISslxuR264785-663	YW-01-28A	YW-01
FISslxuR264786-664	YW-01-29A	YW-01
FISslxuR264787-665	YW-01-30A	YW-01
FISslxuR264788-666	YW-02-01A	YW-02
FISslxuR264789-667	YW-02-02A	YW-02
FISslxuR264790-668	YW-02-03A	YW-02
FISslxuR264791-608	YW-02-04A	YW-02
FISslxuR264792-609	YW-02-05A	YW-02
FISslxuR264793-613	YW-02-06A	YW-02
FISslxuR264794-614	YW-02-07A	YW-02
FISslxuR264795-623	YW-02-08A	YW-02
FISslxuR264796-624	YW-02-09A	YW-02
FISslxuR264797-633	YW-02-11A	YW-02
FISslxuR264798-634	YW-02-12A	YW-02
FISslxuR264799-645	YW-02-13A	YW-02
FISslxuR264800-649	YW-02-15A	YW-02
FISslxuR264801-658	YW-02-16A	YW-02
FISslxuR264802-702	YW-02-17A	YW-02
FISslxuR264803-708	YW-02-18A	YW-02
FISslxuR264804-710	YW-02-19A	YW-02
FISslxuR264805-713	YW-02-20A	YW-02
FISslxuR264806-714	YW-02-21A	YW-02
FISslxuR264807-716	YW-02-22A	YW-02
FISslxuR264808-717	YW-02-23A	YW-02
FISslxuR264809-718	YW-02-24A	YW-02
FISslxuR264810-719	YW-02-25A	YW-02
FISslxuR264811-720	YW-02-26A	YW-02
FISslxuR264812-721	YW-02-27A	YW-02
FISslxuR264813-722	YW-02-28A	YW-02
FISslxuR264814-723	YW-02-29A	YW-02
FISslxuR264815-724	YW-02-30A	YW-02
FISslxuR264816-726	YW-03-01A	YW-03
FISslxuR264817-728	YW-03-02A	YW-03
FISslxuR264818-729	YW-03-03A	YW-03
FISslxuR264819-730	YW-03-04A	YW-03
FISslxuR264820-731	YW-03-05A	YW-03
FISslxuR264821-733	YW-03-06A	YW-03
FISslxuR264822-734	YW-03-07A	YW-03
FISslxuR264823-735	YW-03-08A	YW-03
FISslxuR264824-736	YW-03-09A	YW-03
FISslxuR264825-737	YW-03-10A	YW-03
FISslxuR264826-738	YW-03-11A	YW-03
FISslxuR264827-739	YW-03-12A	YW-03
FISslxuR264828-740	YW-03-13A	YW-03
FISslxuR264829-741	YW-03-14A	YW-03
FISslxuR264831-743	YW-03-15A	YW-03
FISslxuR264832-744	YW-03-16A	YW-03
FISslxuR264833-746	YW-03-17A	YW-03
FISslxuR264834-747	YW-03-18A	YW-03
FISslxuR264835-748	YW-03-19A	YW-03
FISslxuR264836-749	YW-03-20A	YW-03
FISslxuR264837-750	YW-03-21A	YW-03
FISslxuR264838-751	YW-03-22A	YW-03
FISslxuR264839-752	YW-03-23A	YW-03
FISslxuR264840-753	YW-03-24A	YW-03
FISslxuR264841-754	YW-03-26A	YW-03
FISslxuR264842-755	YW-03-27A	YW-03
FISslxuR264843-756	YW-03-28A	YW-03
FISslxuR264844-757	YW-03-29A	YW-03
FISslxuR264845-758	YW-03-30A	YW-03
