lib	name
ANItosgR268647-688	GLCB-BL2
ANItosgR268648-690	GLCB-BL3
ANItosgR268649-691	GLCB-BL7
ANItosgR268650-692	GLCB-BL8
ANItosgR268651-693	GLCB-BL10
ANItosgR268652-695	GLCB-BL15
ANItosgR268653-703	GLCB-BL18
ANItosgR268654-706	GLCB-BL21
ANItosgR268655-707	GLCB-BL23
ANItosgR268656-709	GLCB-BL26
ANItosgR268657-732	GLCB-BL27
ANItosgR268658-762	GLCB-BL1
ANItosgR268659-608	GLCB-BL4
ANItosgR268660-609	GLCB-BL5
ANItosgR268661-613	GLCB-BL6
ANItosgR268662-614	GLCB-BL9
ANItosgR268663-623	GLCB-BL11
ANItosgR268664-624	GLCB-BL12
ANItosgR268665-633	GLCB-BL13
ANItosgR268666-634	GLCB-BL14
ANItosgR268667-645	GLCB-BL16
ANItosgR268668-649	GLCB-BL17
ANItosgR268669-658	GLCB-BL19
ANItosgR268670-702	GLCB-BL20
ANItosgR268671-708	GLCB-BL22
ANItosgR268672-710	GLCB-BL24
ANItosgR268673-713	GLCB-BL25
ANItosgR268674-714	GLCB-BL28
ANItosgR268675-716	GLCB-BL29
ANItosgR268676-717	GLCB-BL30
