lib	name	group
BOSfjxpR280101-741	25799A	G1
BOSfjxpR280102-742	25791A	G1
BOSfjxpR280103-743	25795A	G1
BOSfjxpR280104-744	29283A	G1
BOSfjxpR280105-746	29296A	G1
BOSfjxpR280106-747	25796A	G1
BOSfjxpR280107-748	25797A	G1
BOSfjxpR280108-749	25793A	G1
BOSfjxpR281841-754	25800A	G1
BOSfjxpR281842-755	25792A	G1
BOSfjxpR281843-756	25787A	G1
BOSfjxpR281844-757	25771A	G1
BOSfjxpR281845-758	25784A	G1
BOSfjxpR281846-759	25772A	G1
BOSfjxpR281847-760	25786A	G1
BOSfjxpR281848-761	25783A	G1
BOSfjxpR281849-764	25789A	G1
BOSfjxpR281850-765	09102A	G1
BOSfjxpR281851-766	09121A	G1
BOSfjxpR281852-767	09660A	G1
BOSfjxpR281853-768	08923A	G1
BOSfjxpR281854-769	09127A	G1
BOSfjxpR281855-770	08917A	G1
BOSfjxpR281856-771	03991A	G1
BOSfjxpR281857-607	08909A	G1
BOSfjxpR281858-612	08916A	G1
BOSfjxpR281859-622	09120A	G1
BOSfjxpR281860-632	08949A	G1
BOSfjxpR281861-643	08926A	G1
BOSfjxpR281862-648	08921A	G1
BOSfjxpR281863-657	09110A	G1
BOSfjxpR281864-704	03996A	G1
BOSfjxpR281865-401	04302A	G1
BOSfjxpR281866-402	09118A	G1
BOSfjxpR281867-403	03942A	G1
BOSfjxpR281868-404	09142A	G1
BOSfjxpR281869-405	03993A	G1
BOSfjxpR281870-406	08930A	G1
BOSfjxpR281871-407	09138A	G1
BOSfjxpR281872-409	08940A	G1
BOSfjxpR281873-410	04305A	G1
BOSfjxpR281874-411	03944A	G1
BOSfjxpR281875-412	08928A	G1
BOSfjxpR281876-413	08929A	G1
BOSfjxpR281877-414	26768A	G1
BOSfjxpR281878-415	09114A	G1
BOSfjxpR281879-416	26772A	G1
BOSfjxpR281880-602	08938A	G1
BOSfjxpR281881-603	09106A	G1
BOSfjxpR281882-604	09155A	G1
BOSfjxpR281883-605	08934A	G1
BOSfjxpR281884-610	03994A	G1
BOSfjxpR281885-616	26774A	G1
BOSfjxpR281886-608	09700A	G1
BOSfjxpR281887-609	08935A	G1
BOSfjxpR281888-613	09190A	G1
BOSfjxpR281889-614	21786A	G1
BOSfjxpR281890-623	03902A	G1
BOSfjxpR281891-624	21792A	G1
BOSfjxpR281892-633	09164A	G1
BOSfjxpR281893-634	09182A	G1
BOSfjxpR281894-645	03984A	G1
BOSfjxpR281895-649	03988A	G1
BOSfjxpR281896-658	09192A	G1
BOSfjxpR281897-702	09188A	G1
BOSfjxpR281898-708	09162A	G1
BOSfjxpR281899-710	08902A	G1
BOSfjxpR281900-713	08906A	G1
BOSfjxpR281901-714	08976A	G1
BOSfjxpR281902-716	08912A	G1
BOSfjxpR281903-717	08924A	G1
BOSfjxpR281904-718	09143A	G1
BOSfjxpR281905-719	09115A	G1
BOSfjxpR281906-720	08911A	G1
BOSfjxpR281907-721	03904A	G1
BOSfjxpR281908-722	03946A	G1
BOSfjxpR281909-723	21794A	G1
BOSfjxpR281910-724	09621A	G1
BOSfjxpR281911-726	08972A	G1
BOSfjxpR281912-728	08904A	G1
BOSfjxpR281913-729	09145A	G1
BOSfjxpR281914-730	09136A	G1
BOSfjxpR281915-731	09619A	G1
BOSfjxpR281917-734	09122A	G1
BOSfjxpR281918-735	04310A	G1
BOSfjxpR281919-736	23375A	G1
BOSfjxpR281920-737	23394A	G1
BOSfjxpR281921-738	23369A	G1
BOSfjxpR281922-739	23393A	G1
BOSfjxpR281923-740	23392A	G1
BOSfjxpR281924-741	23366A	G1
BOSfjxpR281925-742	23367A	G1
BOSfjxpR281926-743	20491A	G1
BOSfjxpR281927-744	20500A	G1
BOSfjxpR281928-746	23362A	G1
BOSfjxpR281929-747	26317A	G1
BOSfjxpR281930-748	26315A	G1
BOSfjxpR281931-749	26339A	G1
BOSfjxpR281932-750	29929A	G1
BOSfjxpR281933-751	29994A	G1
BOSfjxpR281934-752	26312A	G1
BOSfjxpR281935-753	26310A	G1
BOSfjxpR281936-754	29990A	G1
BOSfjxpR281937-755	30000A	G1
BOSfjxpR281938-756	26335A	G1
BOSfjxpR281939-757	29905A	G1
BOSfjxpR281940-758	29996A	G1
BOSfjxpR281941-759	26305A	G1
BOSfjxpR281942-760	26333A	G1
BOSfjxpR281943-761	26344A	G1
BOSfjxpR281944-764	29906A	G1
BOSfjxpR281945-765	26349A	G1
BOSfjxpR281946-766	26350A	G1
BOSfjxpR281947-767	29975A	G1
BOSfjxpR281948-768	29993A	G1
BOSfjxpR281949-769	29903A	G1
BOSfjxpR281950-770	26311A	G1
BOSfjxpR281951-771	29914A	G1
BOSfjxpR281952-618	29928A	G1
BOSfjxpR281953-619	26306A	G1
BOSfjxpR281954-620	29985A	G1
BOSfjxpR281955-625	26324A	G1
BOSfjxpR281956-626	29933A	G1
BOSfjxpR281957-627	22990A	G1
BOSfjxpR281958-628	29926A	G1
BOSfjxpR281959-629	29923A	G1
BOSfjxpR281960-630	29901A	G1
BOSfjxpR281961-635	26325A	G1
BOSfjxpR281962-636	29940A	G1
