lib	name
FISwhjmR247936-606	YT-CM-01
FISwhjmR247937-611	YT--CM-02
FISwhjmR247938-621	YT--CM-03
FISwhjmR247939-631	YT--CM-04
FISwhjmR247940-642	YT--CM-05
FISwhjmR247941-646	YT--CM-06
FISwhjmR247942-656	YT--CM-07
FISwhjmR247943-701	YT--CM-08
FISwhjmR247944-607	YT--CM-09
FISwhjmR247945-612	YT--CM-10
FISwhjmR247946-622	YT--CM-11
FISwhjmR247947-632	YT--CM-12
FISwhjmR247948-643	YT--CM-13
FISwhjmR247949-648	YT--CM-14
FISwhjmR247950-657	YT--CM-15
FISwhjmR247951-704	YT--CM-16
FISwhjmR247952-401	YT--CM-17
FISwhjmR247953-402	YT--CM-18
FISwhjmR247954-403	YT--CM-19
FISwhjmR247955-404	YT--CM-20
FISwhjmR247956-405	YT--CM-21
FISwhjmR247957-406	YT--CM-22
FISwhjmR247958-407	YT--CM-23
FISwhjmR247959-409	YT--CM-24
FISwhjmR247960-410	YT--CM-25
FISwhjmR247961-411	YT--CM-26
FISwhjmR247962-412	YT--CM-27
FISwhjmR247963-413	YT--CM-28
FISwhjmR247965-415	YT--CM-29
FISwhjmR247966-416	YT--CM-30
FISwhjmR247967-602	WH--CM-01
FISwhjmR247968-603	WH--CM-02
FISwhjmR247969-604	WH--CM-03
FISwhjmR247970-605	WH--CM-04
FISwhjmR247971-610	WH--CM-05
FISwhjmR247972-616	WH--CM-06
FISwhjmR247973-618	WH--CM-07
FISwhjmR247974-619	WH--CM-08
FISwhjmR247975-620	WH--CM-09
FISwhjmR247976-625	WH--CM-10
FISwhjmR247977-626	WH--CM-11
FISwhjmR247978-627	WH--CM-12
FISwhjmR247979-628	WH--CM-13
FISwhjmR247980-629	WH--CM-14
FISwhjmR247981-630	WH--CM-15
FISwhjmR247982-635	WH--CM-16
FISwhjmR247983-636	WH--CM-17
FISwhjmR247984-637	WH--CM-18
FISwhjmR247985-639	WH--CM-19
FISwhjmR247986-640	WH--CM-20
FISwhjmR247987-650	WH--CM-21
FISwhjmR247988-651	WH--CM-22
FISwhjmR247989-652	WH--CM-23
FISwhjmR247990-653	WH--CM-24
FISwhjmR247991-654	WH--CM-25
FISwhjmR247992-659	WH--CM-26
FISwhjmR247993-660	WH--CM-27
FISwhjmR247994-661	WH--CM-28
FISwhjmR247995-662	WH--CM-29
FISwhjmR247996-663	WH--CM-30
FISwhjmR247997-664	RZ--CM-01
FISwhjmR247998-665	RZ--CM-02
FISwhjmR247999-666	RZ--CM-03
FISwhjmR248000-667	RZ--CM-04
FISwhjmR248001-668	RZ--CM-05
FISwhjmR248002-669	RZ--CM-06
FISwhjmR248003-670	RZ--CM-07
FISwhjmR248004-671	RZ--CM-08
FISwhjmR248005-672	RZ--CM-09
FISwhjmR248006-673	RZ--CM-10
FISwhjmR248007-674	RZ--CM-11
FISwhjmR248008-675	RZ--CM-12
FISwhjmR248009-676	RZ--CM-13
FISwhjmR248010-678	RZ--CM-14
FISwhjmR248011-679	RZ--CM-15
FISwhjmR248012-681	RZ--CM-16
FISwhjmR248013-682	RZ--CM-17
FISwhjmR248014-683	RZ--CM-18
FISwhjmR248015-684	RZ--CM-19
FISwhjmR248016-685	RZ--CM-20
FISwhjmR248017-686	RZ--CM-21
FISwhjmR248018-687	RZ--CM-22
FISwhjmR248019-688	RZ--CM-23
FISwhjmR248020-690	RZ--CM-24
FISwhjmR248021-691	RZ--CM-25
FISwhjmR248022-692	RZ--CM-26
FISwhjmR248023-693	RZ--CM-27
FISwhjmR248024-695	RZ--CM-28
FISwhjmR248025-703	RZ--CM-29
FISwhjmR248026-706	RZ--CM-30
