lib	name	group
PLAszhcR281533-713	GL001	G1
PLAszhcR281534-714	GL002	G1
PLAszhcR281535-716	GL003	G1
PLAszhcR281536-717	GL004	G1
PLAszhcR281537-718	GL005	G1
PLAszhcR281538-719	GL006	G1
PLAszhcR281539-720	GL007	G1
PLAszhcR281540-721	GL008	G1
PLAszhcR281541-722	GL009	G1
PLAszhcR281542-723	GL010	G1
PLAszhcR281543-724	GL011	G1
PLAszhcR281544-726	GL012	G1
PLAszhcR281545-728	GL013	G1
PLAszhcR281546-729	GL014	G1
PLAszhcR281547-730	GL015	G1
PLAszhcR281548-731	GL016	G1
PLAszhcR281549-733	GL017	G1
PLAszhcR281550-734	GL018	G1
PLAszhcR281551-735	GL019	G1
PLAszhcR281552-736	GL020	G1
PLAszhcR281553-737	GL021	G1
PLAszhcR281554-738	GL022	G1
PLAszhcR281555-739	GL023	G1
PLAszhcR281556-740	GL024	G1
PLAszhcR281557-741	GL025	G1
PLAszhcR281558-742	GL026	G1
PLAszhcR281559-743	GL027	G1
PLAszhcR281560-744	GL028	G1
PLAszhcR281561-746	GL029	G1
PLAszhcR281562-747	GL030	G1
PLAszhcR281563-748	GL031	G1
PLAszhcR281564-749	GL032	G1
PLAszhcR281565-750	GL033	G1
PLAszhcR281567-752	GL034	G1
PLAszhcR281568-753	GL035	G1
PLAszhcR281569-754	GL036	G1
PLAszhcR281570-755	GL037	G1
PLAszhcR281571-756	GL038	G1
PLAszhcR281572-757	GL039	G1
PLAszhcR281573-758	GL040	G1
PLAszhcR281574-759	GL041	G1
PLAszhcR281575-760	GL042	G1
PLAszhcR281576-761	GL043	G1
PLAszhcR281577-764	GL044	G1
PLAszhcR281578-765	GL045	G1
PLAszhcR281579-766	GL046	G1
PLAszhcR281580-767	GL047	G1
PLAszhcR281581-768	GL048	G1
PLAszhcR281582-769	GL049	G1
PLAszhcR281583-770	GL050	G1
PLAszhcR281584-771	GL051	G1
PLAszhcR281585-618	GL052	G1
PLAszhcR281586-619	GL053	G1
PLAszhcR281587-620	GL054	G1
PLAszhcR281588-625	GL055	G1
PLAszhcR281589-626	GL056	G1
PLAszhcR281590-627	GL057	G1
PLAszhcR281591-628	GL058	G1
PLAszhcR281592-629	GL059	G1
PLAszhcR281593-630	GL060	G1
PLAszhcR281594-635	GL061	G1
PLAszhcR281595-636	GL062	G1
PLAszhcR281596-637	GL063	G1
PLAszhcR281597-639	GL064	G1
PLAszhcR281598-640	GL065	G1
PLAszhcR281599-650	GL066	G1
PLAszhcR281600-651	GL067	G1
PLAszhcR281601-652	GL068	G1
PLAszhcR281602-653	GL069	G1
PLAszhcR281603-654	GL070	G1
PLAszhcR281604-659	GL071	G1
PLAszhcR281605-660	GL072	G1
PLAszhcR281606-661	GL073	G1
PLAszhcR281607-662	GL074	G1
PLAszhcR281608-663	GL075	G1
PLAszhcR281609-664	GL076	G1
PLAszhcR281610-665	GL077	G1
PLAszhcR281611-666	GL078	G1
PLAszhcR281612-667	GL079	G1
PLAszhcR281613-668	GL080	G1
PLAszhcR282266-608	GL081	G1
PLAszhcR282267-609	GL082	G1
PLAszhcR282268-613	GL083	G1
PLAszhcR282269-614	GL084	G1
PLAszhcR282270-623	GL085	G1
PLAszhcR282271-624	GL086	G1
PLAszhcR282272-633	GL087	G1
PLAszhcR282273-634	GL088	G1
PLAszhcR282274-645	GL089	G1
PLAszhcR282275-649	GL090	G1
PLAszhcR282276-658	GL091	G1
PLAszhcR282277-702	GL092	G1
PLAszhcR282278-708	GL093	G1
PLAszhcR282279-710	GL094	G1
PLAszhcR282280-713	GL095	G1
PLAszhcR282281-714	GL096	G1
PLAszhcR282282-716	GL097	G1
PLAszhcR282283-717	GL098	G1
PLAszhcR282284-718	GL099	G1
PLAszhcR282285-719	GL100	G1
PLAszhcR282286-720	GL101	G1
PLAszhcR282287-721	GL102	G1
PLAszhcR282288-722	GL103	G1
PLAszhcR282289-723	GL104	G1
PLAszhcR282290-724	GL105	G1
PLAszhcR282291-726	GL106	G1
PLAszhcR282292-728	GL107	G1
PLAszhcR282293-729	GL108	G1
PLAszhcR282294-730	GL109	G1
PLAszhcR282295-731	GL110	G1
PLAszhcR282296-733	GL111	G1
PLAszhcR282297-734	GL112	G1
PLAszhcR282298-735	GL113	G1
PLAszhcR282299-736	GL114	G1
PLAszhcR282300-737	GL115	G1
PLAszhcR282301-738	GL116	G1
PLAszhcR282302-739	GL117	G1
PLAszhcR282303-740	GL118	G1
PLAszhcR282304-741	GL119	G1
PLAszhcR282305-742	GL120	G1
PLAszhcR282306-743	GL121	G1
PLAszhcR282307-744	GL122	G1
PLAszhcR282308-746	GL123	G1
PLAszhcR282309-747	GL124	G1
PLAszhcR282310-748	GL125	G1
