lib	name	group
PLAtgbyR286967-413	SK0001A	G1
PLAtgbyR286968-414	SK0002A	G1
PLAtgbyR286969-415	SK0003A	G1
PLAtgbyR286970-416	SK0004A	G1
PLAtgbyR286971-602	SK0005A	G1
PLAtgbyR286972-603	SK0006A	G1
PLAtgbyR286973-604	SK0007A	G1
PLAtgbyR286974-605	SK0008A	G1
PLAtgbyR286975-610	SK0009A	G1
PLAtgbyR286976-616	SK0010A	G1
PLAtgbyR286977-618	SK0011A	G1
PLAtgbyR286978-619	SK0012A	G1
PLAtgbyR286979-620	SK0013A	G1
PLAtgbyR286980-625	SK0014A	G1
PLAtgbyR286981-626	SK0015A	G1
PLAtgbyR286982-627	SK0016A	G1
PLAtgbyR286983-628	SK0017A	G1
PLAtgbyR286984-629	SK0018A	G1
PLAtgbyR286985-630	SK0019A	G1
PLAtgbyR286986-635	SK0020A	G1
PLAtgbyR286987-636	SK0021A	G1
PLAtgbyR286989-639	SK0022A	G1
PLAtgbyR286990-640	SK0023A	G1
PLAtgbyR286991-650	SK0024A	G1
PLAtgbyR286992-651	SK0025A	G1
PLAtgbyR286993-652	SK0026A	G1
PLAtgbyR286994-653	SK0027A	G1
PLAtgbyR286995-654	SK0028A	G1
PLAtgbyR286996-659	SK0029A	G1
PLAtgbyR286997-660	SK0030A	G1
PLAtgbyR286998-661	SK0031A	G1
PLAtgbyR286999-662	SK0032A	G1
PLAtgbyR287000-663	SK0033A	G1
PLAtgbyR287001-664	SK0034A	G1
PLAtgbyR287002-665	SK0035A	G1
PLAtgbyR287003-666	SK0036A	G1
PLAtgbyR287004-667	SK0037A	G1
PLAtgbyR287005-668	SK0038A	G1
PLAtgbyR287006-669	SK0039A	G1
PLAtgbyR287007-670	SK0040A	G1
PLAtgbyR287008-671	SK0041A	G1
PLAtgbyR287009-672	SK0042A	G1
PLAtgbyR287010-673	SK0043A	G1
PLAtgbyR287011-674	SK0044A	G1
PLAtgbyR287012-675	SK0045A	G1
PLAtgbyR287013-676	SK0046A	G1
PLAtgbyR287014-678	SK0047A	G1
PLAtgbyR287015-679	SK0048A	G1
PLAtgbyR287016-681	SK0049A	G1
PLAtgbyR287017-682	SK0050A	G1
PLAtgbyR287018-683	SK0051A	G1
PLAtgbyR287019-684	SK0052A	G1
PLAtgbyR287020-685	SK0053A	G1
PLAtgbyR287021-686	SK0054A	G1
PLAtgbyR287022-687	SK0055A	G1
PLAtgbyR287023-688	SK0056A	G1
PLAtgbyR287024-690	SK0057A	G1
PLAtgbyR287025-691	SK0058A	G1
PLAtgbyR287026-692	SK0059A	G1
PLAtgbyR287027-693	SK0060A	G1
PLAtgbyR287028-695	SK0061A	G1
PLAtgbyR287029-703	SK0062A	G1
