lib	name	group
PLAlihqR292048-747	Vrsx_101	G1
PLAlihqR292049-748	Vrsx_102	G1
PLAlihqR292050-749	Vrsx_104	G1
PLAlihqR292051-750	Vrsx_105	G1
PLAlihqR292052-751	Vrsx_106	G1
PLAlihqR292053-752	Vrsx_107	G1
PLAlihqR292054-753	Vrsx_108	G1
PLAlihqR292055-754	Vrsx_109	G1
PLAlihqR292056-755	Vrsx_110	G1
PLAlihqR292057-756	Vrsx_111	G1
PLAlihqR292058-757	Vrsx_112	G1
PLAlihqR292059-758	Vrsx_113	G1
PLAlihqR292060-759	Vrsx_114	G1
PLAlihqR292061-760	Vrsx_117	G1
PLAlihqR292062-761	Vrsx_118	G1
PLAlihqR292063-764	Vrsx_119	G1
PLAlihqR292064-765	Vrsx_120	G1
PLAlihqR292065-766	Vrsx_122	G1
PLAlihqR292066-767	Vrsx_125	G1
PLAlihqR292067-768	Vrsx_126	G1
PLAlihqR292068-769	Vrsx_128	G1
PLAlihqR292070-771	Vrsx_132	G1
PLAlihqR292071-669	Vrsx_133	G1
PLAlihqR292072-670	Vrsx_134	G1
PLAlihqR292188-679	Vrsx_135	G1
PLAlihqR292189-681	Vrsx_137	G1
PLAlihqR292190-682	Vrsx_138	G1
PLAlihqR292191-683	Vrsx_139	G1
PLAlihqR292192-684	Vrsx_140	G1
PLAlihqR292193-685	Vrsx_141	G1
PLAlihqR292194-687	Vrsx_142	G1
PLAlihqR292195-688	Vrsx_144	G1
PLAlihqR292196-690	Vrsx_145	G1
PLAlihqR292197-691	Vrsx_146	G1
PLAlihqR292198-692	Vrsx_147	G1
PLAlihqR292199-695	Vrsx_148	G1
PLAlihqR292200-701	Vrsx_149	G1
PLAlihqR292201-702	Vrsx_152	G1
PLAlihqR292202-703	Vrsx_153	G1
PLAlihqR292203-706	Vrsx_154	G1
PLAlihqR292204-707	Vrsx_155	G1
PLAlihqR292205-708	Vrsx_156	G1
PLAlihqR292206-710	Vrsx_157	G1
PLAlihqR292207-713	Vrsx_158	G1
PLAlihqR292208-714	Vrsx_159	G1
PLAlihqR292209-716	Vrsx_160	G1
PLAlihqR292210-717	Vrsx_161	G1
PLAlihqR292211-718	Vrsx_163	G1
PLAlihqR292212-719	Vrsx_164	G1
PLAlihqR292213-720	Vrsx_165	G1
PLAlihqR292214-721	Vrsx_166	G1
PLAlihqR292215-722	Vrsx_167	G1
PLAlihqR292216-723	Vrsx_168	G1
PLAlihqR292217-724	Vrsx_169	G1
PLAlihqR292218-726	Vrsx_170	G1
PLAlihqR292219-728	Vrsx_171	G1
PLAlihqR292220-729	Vrsx_173	G1
PLAlihqR292221-730	Vrsx_174	G1
PLAlihqR292222-731	Vrsx_175	G1
PLAlihqR292223-733	Vrsx_176	G1
PLAlihqR292224-734	Vrsx_177	G1
PLAlihqR292225-735	Vrsx_178	G1
PLAlihqR292226-736	Vrsx_179	G1
PLAlihqR292227-737	Vrsx_180	G1
PLAlihqR292228-738	Vrsx_181	G1
PLAlihqR292229-739	Vrsx_182	G1
PLAlihqR292230-740	Vrsx_183	G1
PLAlihqR292231-741	Vrsx_184	G1
PLAlihqR292232-742	Vrsx_185	G1
PLAlihqR292233-743	Vrsx_186	G1
PLAlihqR292234-744	Vrsx_187	G1
PLAlihqR292235-746	Vrsx_188	G1
PLAlihqR292236-747	Vrsx_189	G1
PLAlihqR292237-748	Vrsx_190	G1
PLAlihqR292238-749	Vrsx_192	G1
PLAlihqR292239-750	Vrsx_193	G1
PLAlihqR292240-751	Vrsx_195	G1
PLAlihqR292241-752	Vrsx_196	G1
PLAlihqR292242-753	Vrsx_197	G1
PLAlihqR292243-754	Vrsx_198	G1
PLAlihqR292244-755	Vrsx_199	G1
PLAlihqR292245-756	Vrsx_200	G1
PLAlihqR292246-757	Vrsx_201	G1
PLAlihqR292247-758	Vrsx_202	G1
PLAlihqR292248-759	Vrsx_203	G1
PLAlihqR292249-760	Vrsx_205	G1
PLAlihqR292250-761	Vrsx_209	G1
PLAlihqR292251-764	Vrsx_210	G1
PLAlihqR292252-765	Vrsx_211	G1
PLAlihqR292253-766	Vrsx_212	G1
PLAlihqR292254-767	Vrsx_213	G1
PLAlihqR292255-768	Vrsx_214	G1
PLAlihqR292256-769	Vrsx_216	G1
PLAlihqR292257-770	Vrsx_217	G1
PLAlihqR292258-771	Vrsx_220	G1
PLAlihqR292259-401	Vrsx_221	G1
PLAlihqR292260-402	Vrsx_223	G1
PLAlihqR292261-403	Vrsx_224	G1
PLAlihqR292262-404	Vrsx_226	G1
PLAlihqR292263-405	Vrsx_229	G1
PLAlihqR292264-406	Vrsx_230	G1
PLAlihqR292265-407	Vrsx_232	G1
PLAlihqR292266-409	Vrsx_233	G1
PLAlihqR292267-410	Vrsx_234	G1
PLAlihqR292268-411	Vrsx_236	G1
PLAlihqR292269-412	Vrsx_238	G1
PLAlihqR292270-413	Vrsx_240	G1
PLAlihqR292271-414	Vrsx_241	G1
PLAlihqR292272-415	Vrsx_242	G1
PLAlihqR292273-416	Vrsx_243	G1
PLAlihqR292274-602	Vrsx_245	G1
PLAlihqR292275-603	Vrsx_246	G1
PLAlihqR292276-604	Vrsx_248	G1
PLAlihqR292277-605	Vrsx_249	G1
PLAlihqR292278-607	Vrsx_250	G1
PLAlihqR292279-608	Vrsx_251	G1
PLAlihqR292280-609	Vrsx_253	G1
PLAlihqR292281-610	Vrsx_254	G1
PLAlihqR292282-611	Vrsx_255	G1
PLAlihqR292283-612	Vrsx_256	G1
PLAlihqR292285-614	Vrsx_258	G1
PLAlihqR292286-616	Vrsx_259	G1
PLAlihqR292287-618	Vrsx_261	G1
PLAlihqR292288-619	Vrsx_262	G1
PLAlihqR292289-620	Vrsx_263	G1
PLAlihqR292290-621	Vrsx_264	G1
PLAlihqR292291-622	Vrsx_265	G1
PLAlihqR292292-623	Vrsx_267	G1
PLAlihqR292293-624	Vrsx_268	G1
PLAlihqR292294-625	Vrsx_269	G1
PLAlihqR292295-626	Vrsx_271	G1
PLAlihqR292296-627	Vrsx_272	G1
PLAlihqR292297-628	Vrsx_273	G1
PLAlihqR292298-629	Vrsx_274	G1
PLAlihqR292299-630	Vrsx_275	G1
PLAlihqR292300-631	Vrsx_276	G1
PLAlihqR292301-632	Vrsx_277	G1
PLAlihqR292302-633	Vrsx_278	G1
PLAlihqR292303-634	Vrsx_279	G1
PLAlihqR292304-635	Vrsx_280	G1
PLAlihqR292305-636	Vrsx_281	G1
