lib	name	group
PLAgetzR299580-678	PK001	G1
PLAgetzR299581-679	PK002	G1
PLAgetzR299582-681	PK003	G1
PLAgetzR299583-682	PK004	G1
PLAgetzR299584-683	PK005	G1
PLAgetzR299585-684	PK006	G1
PLAgetzR299586-685	PK007	G1
PLAgetzR299587-401	PK008	G1
PLAgetzR299588-402	PK009	G1
PLAgetzR299589-403	PK010	G1
PLAgetzR299590-404	PK011	G1
PLAgetzR299591-405	PK012	G1
PLAgetzR299592-406	PK013	G1
PLAgetzR299593-407	PK014	G1
PLAgetzR299594-409	PK015	G1
PLAgetzR299595-410	PK016	G1
PLAgetzR299596-411	PK017	G1
PLAgetzR299597-412	PK018	G1
PLAgetzR299598-413	PK019	G1
PLAgetzR299599-414	PK020	G1
PLAgetzR299600-415	PK021	G1
PLAgetzR299601-416	PK022	G1
PLAgetzR299602-602	PK023	G1
PLAgetzR299603-603	PK024	G1
PLAgetzR299604-604	PK025	G1
PLAgetzR299605-605	PK026	G1
PLAgetzR299606-607	PK027	G1
PLAgetzR299607-608	PK028	G1
PLAgetzR299608-609	PK029	G1
PLAgetzR299609-610	PK030	G1
PLAgetzR299610-611	PK031	G1
PLAgetzR299611-612	PK032	G1
PLAgetzR299612-613	PK033	G1
PLAgetzR299613-614	PK034	G1
PLAgetzR299614-616	PK035	G1
PLAgetzR299615-618	PK036	G1
PLAgetzR299616-619	PK037	G1
PLAgetzR299617-620	PK038	G1
PLAgetzR299618-621	PK039	G1
PLAgetzR299619-622	PK040	G1
PLAgetzR299620-623	PK041	G1
PLAgetzR299621-624	PK042	G1
PLAgetzR299622-625	PK043	G1
PLAgetzR299623-626	PK044	G1
PLAgetzR299624-627	PK045	G1
PLAgetzR299626-629	PK046	G1
PLAgetzR299627-630	PK047	G1
PLAgetzR299628-631	PK048	G1
PLAgetzR299629-632	PK049	G1
PLAgetzR299630-633	PK050	G1
PLAgetzR299631-634	PK051	G1
PLAgetzR299632-635	PK052	G1
PLAgetzR299633-636	PK053	G1
PLAgetzR299634-637	PK054	G1
PLAgetzR299635-639	PK055	G1
PLAgetzR299636-640	PK056	G1
PLAgetzR299637-642	PK057	G1
