lib	name	group
PLAdvsnR300261-754	RC30B	G1
PLApldvR314754-648	RC301A	G1
PLApldvR314755-649	RC406A	G1
PLApldvR314756-650	RC407A	G1
PLAsutyR303715-606	RC1A	G1
PLAsutyR303716-653	RC2A	G1
PLAsutyR303717-654	RC3A	G1
PLAsutyR303718-656	RC4A	G1
PLAsutyR303719-657	RC5A	G1
PLAsutyR303720-658	RC6A	G1
PLAsutyR303721-659	RC7A	G1
PLAsutyR303722-660	RC8A	G1
PLAsutyR303723-661	RC9A	G1
PLAsutyR303724-662	RC10A	G1
PLAsutyR303725-663	RC11A	G1
PLAsutyR303726-664	RC12A	G1
PLAsutyR303727-666	RC13A	G1
PLAsutyR303728-667	RC14A	G1
PLAsutyR303729-668	RC15A	G1
PLAsutyR303730-669	RC16A	G1
PLAsutyR303731-670	RC17A	G1
PLAsutyR303732-671	RC18A	G1
PLAsutyR303733-672	RC19A	G1
PLAsutyR303734-673	RC20A	G1
PLAsutyR303735-674	RC21A	G1
PLAsutyR303736-675	RC22A	G1
PLAsutyR303737-676	RC23A	G1
PLAsutyR303738-678	RC24A	G1
PLAsutyR303739-679	RC25A	G1
PLAsutyR303740-681	RC26A	G1
PLAsutyR303741-682	RC27A	G1
PLAsutyR303742-683	RC28A	G1
PLAsutyR303743-684	RC29A	G1
PLAsutyR303744-685	RC31A	G1
PLAsutyR303745-687	RC32A	G1
PLAsutyR303746-688	RC33A	G1
PLAsutyR303747-690	RC34A	G1
PLAsutyR303748-691	RC35A	G1
PLAsutyR303749-692	RC36A	G1
PLAsutyR303750-695	RC37A	G1
PLAsutyR303751-701	RC38A	G1
PLAsutyR303752-702	RC39A	G1
PLAsutyR303753-703	RC40A	G1
PLAsutyR303754-706	RC41A	G1
PLAsutyR303755-707	RC42A	G1
PLAsutyR303756-708	RC43A	G1
PLAsutyR303757-710	RC44A	G1
PLAsutyR303758-713	RC45A	G1
PLAsutyR303759-714	RC46A	G1
PLAsutyR303760-716	RC47A	G1
PLAsutyR303761-717	RC48A	G1
PLAsutyR303762-718	RC49A	G1
PLAsutyR303763-719	RC50A	G1
PLAsutyR303764-720	RC51A	G1
PLAsutyR303765-721	RC52A	G1
PLAsutyR303766-722	RC53A	G1
PLAsutyR303768-724	RC54A	G1
PLAsutyR303769-726	RC55A	G1
PLAsutyR303770-728	RC56A	G1
PLAsutyR303771-729	RC57A	G1
PLAsutyR303772-730	RC58A	G1
PLAsutyR303773-731	RC59A	G1
PLAsutyR303774-733	RC60A	G1
PLAsutyR303775-734	RC61A	G1
PLAsutyR303776-735	RC62A	G1
PLAsutyR303777-736	RC63A	G1
PLAsutyR303778-737	RC64A	G1
PLAsutyR303779-738	RC65A	G1
PLAsutyR303780-739	RC66A	G1
PLAsutyR303781-740	RC67A	G1
PLAsutyR303782-741	RC68A	G1
PLAsutyR303783-742	RC69A	G1
PLAsutyR303784-743	RC70A	G1
PLAsutyR303785-744	RC71A	G1
PLAsutyR303786-746	RC72A	G1
PLAsutyR303787-747	RC73A	G1
PLAsutyR303788-748	RC74A	G1
PLAsutyR303789-749	RC75A	G1
PLAsutyR303790-750	RC76A	G1
PLAsutyR303791-751	RC77A	G1
PLAsutyR303792-752	RC78A	G1
PLAsutyR303793-753	RC79A	G1
PLAsutyR303794-754	RC80A	G1
PLAsutyR303795-755	RC81A	G1
PLAsutyR303796-756	RC82A	G1
PLAsutyR303797-757	RC83A	G1
PLAsutyR303798-758	RC84A	G1
PLAsutyR303799-759	RC85A	G1
PLAsutyR303800-760	RC86A	G1
PLAsutyR303801-761	RC87A	G1
PLAsutyR303802-764	RC88A	G1
PLAsutyR303803-765	RC89A	G1
PLAsutyR303804-766	RC90A	G1
PLAsutyR303805-767	RC91A	G1
PLAsutyR303806-768	RC92A	G1
PLAsutyR303807-769	RC93A	G1
PLAsutyR303808-770	RC94A	G1
PLAsutyR303809-771	RC95A	G1
PLAsutyR303810-401	RC96A	G1
PLAsutyR303811-402	RC97A	G1
PLAsutyR303812-403	RC98A	G1
PLAsutyR303813-404	RC99A	G1
PLAsutyR303814-405	RC100A	G1
PLAsutyR303815-406	RC101A	G1
PLAsutyR303816-407	RC102A	G1
PLAsutyR303817-409	RC103A	G1
PLAsutyR303818-410	RC104A	G1
PLAsutyR303819-411	RC105A	G1
PLAsutyR303820-412	RC106A	G1
PLAsutyR303821-413	RC107A	G1
PLAsutyR303822-414	RC108A	G1
PLAsutyR303823-415	RC109A	G1
PLAsutyR303824-416	RC110A	G1
PLAsutyR303825-602	RC111A	G1
PLAsutyR303826-603	RC112A	G1
PLAsutyR303827-604	RC113A	G1
PLAsutyR303828-605	RC114A	G1
PLAsutyR303829-607	RC115A	G1
PLAsutyR303830-608	RC116A	G1
PLAsutyR303831-609	RC117A	G1
PLAsutyR303832-610	RC118A	G1
PLAsutyR303833-611	RC119A	G1
PLAsutyR303834-612	RC120A	G1
PLAsutyR303835-613	RC121A	G1
PLAsutyR303836-614	RC122A	G1
PLAsutyR303837-616	RC123A	G1
PLAsutyR303838-618	RC124A	G1
PLAsutyR303839-619	RC125A	G1
PLAsutyR303840-620	RC126A	G1
PLAsutyR303841-621	RC127A	G1
PLAsutyR303842-622	RC128A	G1
PLAsutyR303843-623	RC129A	G1
PLAsutyR303844-624	RC130A	G1
PLAsutyR303845-625	RC131A	G1
PLAsutyR303846-626	RC132A	G1
PLAsutyR303847-627	RC133A	G1
PLAsutyR303848-628	RC134A	G1
