lib	name	group
PLAvgytR300751-606	sc298_A	G1
PLAvgytR300752-653	sc299_A	G1
PLAvgytR300753-654	sc300_A	G1
PLAvgytR300754-656	sc301_A	G1
PLAvgytR300755-657	sc302_A	G1
PLAvgytR300756-658	sc303_A	G1
PLAvgytR300757-659	sc304_A	G1
PLAvgytR300759-661	sc305_A	G1
PLAvgytR300760-662	sc306_A	G1
PLAvgytR300761-663	sc307_A	G1
PLAvgytR300762-664	sc308_A	G1
PLAvgytR300763-666	sc309_A	G1
PLAvgytR300764-667	sc310_A	G1
PLAvgytR300765-668	sc312_A	G1
PLAvgytR300766-669	sc313_A	G1
PLAvgytR300767-670	sc314_A	G1
PLAvgytR300768-671	sc315_A	G1
PLAvgytR300769-672	sc316_A	G1
PLAvgytR300770-673	sc317_A	G1
PLAvgytR300771-674	sc318_A	G1
PLAvgytR300772-675	sc319_A	G1
PLAvgytR300773-676	sc320_A	G1
PLAvgytR300774-678	sc321_A	G1
PLAvgytR300775-679	sc322_A	G1
PLAvgytR300776-681	sc323_A	G1
PLAvgytR300777-682	sc324_A	G1
PLAvgytR300778-683	sc325_A	G1
PLAvgytR300779-684	sc326_A	G1
PLAvgytR300780-685	sc327_A	G1
PLAvgytR300781-687	sc328_A	G1
PLAvgytR300782-688	sc329_A	G1
PLAvgytR300783-690	sc330_A	G1
PLAvgytR300784-691	sc331_A	G1
PLAvgytR300785-692	sc332_A	G1
PLAvgytR300786-695	sc333_A	G1
PLAvgytR300787-701	sc334_A	G1
PLAvgytR300788-702	sc335_A	G1
PLAvgytR300789-703	sc336_A	G1
PLAvgytR300790-706	sc337_A	G1
PLAvgytR300791-707	sc338_A	G1
PLAvgytR300792-708	sc339_A	G1
PLAvgytR300793-710	sc340_A	G1
PLAvgytR300794-713	sc341_A	G1
PLAvgytR300795-714	sc342_A	G1
PLAvgytR300796-716	sc343_A	G1
PLAvgytR300797-717	sc344_A	G1
PLAvgytR300798-718	sc345_A	G1
PLAvgytR300799-719	sc346_A	G1
PLAvgytR300800-720	sc347_A	G1
PLAvgytR300801-721	sc348_A	G1
PLAvgytR300802-722	sc349_A	G1
PLAvgytR300803-723	sc350_A	G1
PLAvgytR300804-724	sc351_A	G1
PLAvgytR300805-726	sc352_A	G1
PLAvgytR300806-728	sc353_A	G1
PLAvgytR300807-729	sc354_A	G1
PLAvgytR300808-730	sc355_A	G1
PLAvgytR300809-731	sc356_A	G1
PLAvgytR300810-733	sc357_A	G1
PLAvgytR300811-734	sc358_A	G1
PLAvgytR300812-735	sc359_A	G1
PLAvgytR300813-736	sc360_A	G1
PLAvgytR300814-737	sc361_A	G1
PLAvgytR300815-738	sc362_A	G1
PLAvgytR300816-739	sc363_A	G1
PLAvgytR300817-740	sc364_A	G1
PLAvgytR300818-741	sc365_A	G1
PLAvgytR300819-742	sc366_A	G1
PLAvgytR300820-743	sc367_A	G1
PLAvgytR300821-744	sc368_A	G1
PLAvgytR300822-746	sc369_A	G1
PLAvgytR300823-747	sc370_A	G1
PLAvgytR300824-748	sc371_A	G1
PLAvgytR300825-749	sc372_A	G1
PLAvgytR300826-750	sc373_A	G1
PLAvgytR300827-751	sc374_A	G1
PLAvgytR300828-752	sc375_A	G1
PLAvgytR300829-753	sc376_A	G1
PLAvgytR300830-754	sc377_A	G1
PLAvgytR300831-755	sc378_A	G1
PLAvgytR300832-756	sc379_A	G1
PLAvgytR300833-757	sc380_A	G1
PLAvgytR300834-758	sc381_A	G1
PLAvgytR300835-759	sc382_A	G1
PLAvgytR300836-760	sc383_A	G1
PLAvgytR300837-761	sc384_A	G1
PLAvgytR300838-764	sc385_A	G1
PLAvgytR300839-765	sc386_A	G1
PLAvgytR300840-766	sc387_A	G1
PLAvgytR300841-767	sc388_A	G1
PLAvgytR300842-768	sc389_A	G1
PLAvgytR300843-769	sc390_A	G1
PLAvgytR300844-770	sc391_A	G1
PLAvgytR300845-771	sc392_A	G1
PLAvgytR300846-401	sc393_A	G1
PLAvgytR300847-402	sc394_A	G1
PLAvgytR300848-403	sc395_A	G1
PLAvgytR300849-404	sc396_A	G1
PLAvgytR300850-405	sc397_A	G1
PLAvgytR300851-406	sc398_A	G1
PLAvgytR300852-407	sc399_A	G1
PLAvgytR300853-409	sc400_A	G1
PLAvgytR300854-410	sc401_A	G1
PLAvgytR300855-411	sc402_A	G1
PLAvgytR300856-412	sc403_A	G1
PLAvgytR300857-413	sc404_A	G1
PLAvgytR300858-414	sc405_A	G1
PLAvgytR300859-415	sc406_A	G1
PLAvgytR300861-602	sc407_A	G1
PLAvgytR300862-603	sc408_A	G1
PLAvgytR300863-604	sc409_A	G1
PLAvgytR300864-605	sc410_A	G1
PLAvgytR300865-607	sc411_A	G1
PLAvgytR300866-608	sc412_A	G1
PLAvgytR300867-609	sc413_A	G1
PLAvgytR300868-610	sc414_A	G1
PLAvgytR300869-611	sc415_A	G1
PLAvgytR300870-612	sc416_A	G1
PLAvgytR300871-613	sc417_A	G1
PLAvgytR300872-614	sc418_A	G1
PLAvgytR300873-616	sc419_A	G1
PLAvgytR300874-618	sc420_A	G1
PLAvgytR300875-619	sc421_A	G1
PLAvgytR300876-620	sc422_A	G1
PLAvgytR300877-621	sc423_A	G1
PLAvgytR300878-622	sc424_A	G1
PLAvgytR300879-623	sc425_A	G1
PLAvgytR300880-624	sc426_A	G1
PLAvgytR300881-625	sc427_A	G1
PLAvgytR300882-626	sc428_A	G1
PLAvgytR300883-627	sc429_A	G1
PLAvgytR300884-628	sc430_A	G1
PLAvgytR300885-629	sc431_A	G1
PLAvgytR300886-630	sc432_A	G1
PLAvgytR300887-631	sc433_A	G1
PLAvgytR300888-632	sc434_A	G1
PLAvgytR300889-633	sc435_A	G1
PLAvgytR300890-634	sc436_A	G1
PLAvgytR300891-635	sc437_A	G1
PLAvgytR300892-636	sc438_A	G1
PLAvgytR300893-637	sc439_A	G1
PLAvgytR300894-639	sc440_A	G1
PLAvgytR300895-640	sc441_A	G1
PLAvgytR300896-642	sc442_A	G1
PLAvgytR300897-643	sc443_A	G1
PLAvgytR300898-645	sc444_A	G1
PLAvgytR300899-646	sc445_A	G1
PLAvgytR300900-648	sc446_A	G1
PLAvgytR300901-649	sc447_A	G1
PLAvgytR300902-650	sc448_A	G1
PLAvgytR300903-651	sc449_A	G1
PLAvgytR300904-652	sc450_A	G1
PLAvgytR300905-665	sc451_A	G1
PLAvgytR300906-686	sc452_A	G1
PLAvgytR300907-693	sc453_A	G1
PLAvgytR300908-704	sc454_A	G1
PLAvgytR300909-709	sc455_A	G1
PLAvgytR300910-732	sc456_A	G1
PLAvgytR300911-762	sc457_A	G1
PLAvgytR300912-653	sc458_A	G1
PLAvgytR300913-654	sc459_A	G1
PLAvgytR300914-656	sc460_A	G1
PLAvgytR300915-657	sc461_A	G1
PLAvgytR300916-658	sc462_A	G1
PLAvgytR300917-659	sc463_A	G1
PLAvgytR300918-660	sc464_A	G1
PLAvgytR300919-661	sc465_A	G1
PLAvgytR300920-662	sc466_A	G1
PLAvgytR300921-663	sc467_A	G1
PLAvgytR300922-664	sc468_A	G1
PLAvgytR300923-666	sc469_A	G1
PLAvgytR300924-667	sc470_A	G1
PLAvgytR300925-668	sc471_A	G1
PLAvgytR300926-669	sc472_A	G1
PLAvgytR300927-670	sc473_A	G1
PLAvgytR300928-671	sc474_A	G1
PLAvgytR300929-672	sc475_A	G1
PLAvgytR300930-673	sc476_A	G1
PLAvgytR300931-674	sc477_A	G1
PLAvgytR300932-675	sc478_A	G1
PLAvgytR300933-676	sc479_A	G1
PLAvgytR300934-678	sc480_A	G1
PLAvgytR300935-679	sc481_A	G1
PLAvgytR300936-681	sc482_A	G1
PLAvgytR300937-682	sc483_A	G1
PLAvgytR300938-683	sc484_A	G1
PLAvgytR300939-684	sc485_A	G1
PLAvgytR300940-685	sc486_A	G1
PLAvgytR300941-401	sc487_A	G1
PLAvgytR300942-402	sc488_A	G1
PLAvgytR300943-403	sc489_A	G1
PLAvgytR300944-404	sc490_A	G1
PLAvgytR300945-405	sc491_A	G1
PLAvgytR300946-406	sc492_A	G1
PLAvgytR300947-407	sc493_A	G1
PLAvgytR300948-409	sc494_A	G1
PLAvgytR300949-410	sc495_A	G1
PLAvgytR300950-411	sc496_A	G1
PLAvgytR300951-412	sc497_A	G1
PLAvgytR300952-413	sc498_A	G1
PLAvgytR300953-414	sc499_A	G1
PLAvgytR300954-415	sc500_A	G1
PLAvgytR300955-416	sc501_A	G1
PLAkbipR313488-654	sc311_A	G1
