lib	name	group
GALaryqR264859-606	SZ251	G1
GALaryqR264860-611	SZ270	G1
GALaryqR264861-621	SZ250	G1
GALaryqR264862-631	SZ331	G1
GALaryqR264863-642	SZ335	G1
GALaryqR264864-646	SZ186	G1
GALaryqR264865-656	SZ296	G1
GALaryqR264866-701	SZ48	G1
GALaryqR264867-607	SZ557	G1
GALaryqR264868-612	SZ460	G1
GALaryqR264869-622	SZ480	G1
GALaryqR264870-632	SZ802	G1
GALaryqR264871-643	SZ804	G1
GALaryqR264872-648	SZ818	G1
GALaryqR264873-657	SZ834	G1
GALaryqR264874-704	SZ529	G1
GALaryqR264875-401	SZ824	G1
GALaryqR264876-402	SZ479	G1
GALaryqR264877-403	SZ463	G1
GALaryqR264878-404	SZ456	G1
GALaryqR264879-405	SZ481	G1
GALaryqR264880-406	SZ487	G1
GALaryqR264881-407	SZ825	G1
GALaryqR264882-409	SZ528	G1
GALaryqR264883-410	SZ477	G1
GALaryqR264884-411	SZ512	G1
GALaryqR264885-412	SZ469	G1
GALaryqR264886-413	SZ816	G1
GALaryqR264887-414	SZ829	G1
GALaryqR264888-415	SZ455	G1
GALaryqR264889-416	SZ485	G1
GALaryqR264890-602	SZ801	G1
GALaryqR264891-603	SZ461	G1
GALaryqR264892-604	SZ459	G1
GALaryqR264893-605	SZ484	G1
GALaryqR264894-610	SZ515	G1
GALaryqR264895-616	SZ500	G1
GALaryqR264896-618	SZ813	G1
GALaryqR264897-619	SZ451	G1
GALaryqR264898-620	SZ452	G1
GALaryqR264899-625	SZ836	G1
GALaryqR264900-626	SZ808	G1
GALaryqR264901-627	SZ826	G1
GALaryqR264902-628	SZ809	G1
GALaryqR264903-629	SZ519	G1
GALaryqR264904-630	SZ822	G1
GALaryqR264906-636	SZ490	G1
GALaryqR264907-637	SZ465	G1
GALaryqR264908-639	SZ483	G1
GALaryqR264909-640	SZ453	G1
GALaryqR264910-650	SZ832	G1
GALaryqR264911-651	SZ464	G1
GALaryqR264912-652	SZ486	G1
GALaryqR264913-653	SZ820	G1
GALaryqR264914-654	SZ814	G1
GALaryqR264915-659	SZ821	G1
GALaryqR264916-660	SZ823	G1
GALaryqR264917-661	SZ470	G1
GALaryqR264918-662	SZ803	G1
GALaryqR264919-663	SZ807	G1
GALaryqR264920-664	SZ817	G1
GALaryqR264921-665	SZ508	G1
GALaryqR264922-666	SZ472	G1
GALaryqR264923-667	SZ516	G1
GALaryqR264924-668	SZ522	G1
GALaryqR264925-669	SZ475	G1
GALaryqR264926-670	SZ511	G1
GALaryqR264927-671	SZ466	G1
GALaryqR264928-672	SZ524	G1
GALaryqR264929-673	SZ838	G1
GALaryqR264930-674	SZ805	G1
GALaryqR264931-675	SZ491	G1
GALaryqR264932-676	SZ815	G1
GALaryqR264933-678	SZ497	G1
GALaryqR264934-679	SZ505	G1
GALaryqR264935-681	SZ509	G1
GALaryqR264936-682	SZ527	G1
GALaryqR264937-683	SZ494	G1
GALaryqR264938-684	SZ831	G1
GALaryqR264939-685	SZ478	G1
GALaryqR264940-686	SZ496	G1
GALaryqR264941-687	SZ812	G1
GALaryqR264942-688	SZ501	G1
GALaryqR264943-690	SZ462	G1
GALaryqR264944-691	SZ492	G1
GALaryqR264945-692	SZ513	G1
GALaryqR264946-693	SZ520	G1
GALaryqR264947-695	SZ493	G1
GALaryqR264948-703	SZ521	G1
GALaryqR264949-706	SZ806	G1
GALaryqR264950-707	SZ517	G1
GALaryqR264951-709	SZ488	G1
GALaryqR264952-732	SZ468	G1
GALaryqR264953-762	SZ467	G1
GALaryqR264954-608	SZ514	G1
GALaryqR264955-609	SZ530	G1
GALaryqR264956-613	SZ828	G1
GALaryqR264957-614	SZ506	G1
GALaryqR264958-623	SZ837	G1
GALaryqR264959-624	SZ502	G1
GALaryqR264960-633	SZ518	G1
GALaryqR264961-634	SZ839	G1
GALaryqR264962-645	SZ525	G1
GALaryqR264963-649	SZ482	G1
GALaryqR264964-658	SZ526	G1
