lib	name
MICexlqR167758-672	A001
MICexlqR167575-688	A002
MICexlqR167759-676	A003
MICexlqR167760-678	A004
MICexlqR167761-679	A005
MICexlqR167762-681	A006
MICexlqR167763-682	A007
MICexlqR167764-683	A008
MICexlqR167765-687	A009
MICexlqR167766-688	A010
MICexlqR167767-690	A011
MICexlqR167576-690	A012
MICexlqR167577-691	A013
MICexlqR167578-692	A014
MICexlqR167579-695	A015
MICexlqR167580-703	A016
MICexlqR167581-704	A017
MICexlqR167582-706	A018
MICexlqR167583-708	A019
MICexlqR167584-710	A020
MICexlqR167585-733	A021
MICexlqR167586-738	A022
MICexlqR167587-739	A023
MICexlqR167588-741	A024
MICexlqR167589-744	A025
MICexlqR167590-748	A026
MICexlqR167591-749	A027
MICexlqR167592-750	A028
MICexlqR167593-751	A029
MICexlqR167594-752	A030
MICexlqR167595-753	A031
MICexlqR167596-754	A032
MICexlqR167597-758	A033
MICexlqR167598-759	A034
MICexlqR167599-760	A035
MICexlqR167600-764	A036
MICexlqR167601-765	A037
MICexlqR167602-766	A038
MICexlqR167603-767	A039
MICexlqR167604-768	A040
MICexlqR167605-769	A041
MICexlqR167606-608	A042
MICexlqR167607-606	A043
MICexlqR167608-612	A044
MICexlqR167609-621	A045
MICexlqR167610-632	A046
MICexlqR167611-642	A047
MICexlqR167612-648	A048
MICexlqR167613-656	A049
MICexlqR167614-701	A050
MICexlqR167768-691	A051
MICexlqR167769-692	A052
MICexlqR167770-695	A053
MICexlqR167771-703	A054
MICexlqR167772-704	A055
MICexlqR167773-706	A056
MICexlqR167774-708	A057
MICexlqR167615-609	A058
MICexlqR167775-710	A059
MICexlqR167616-613	A060
MICexlqR167617-622	A061
MICexlqR167618-633	A062
MICexlqR167619-643	A063
MICexlqR167620-649	A064
MICexlqR167621-658	A065
MICexlqR167622-702	A066
MICexlqR167623-403	A067
MICexlqR167624-404	A068
MICexlqR167625-405	A069
MICexlqR167626-406	A070
MICexlqR167627-411	A071
MICexlqR167628-413	A072
MICexlqR167630-602	A073
MICexlqR167631-603	A074
MICexlqR167632-604	A075
MICexlqR167633-605	A076
MICexlqR167634-610	A077
MICexlqR167635-614	A078
MICexlqR167636-616	A079
MICexlqR167637-618	A080
MICexlqR167638-619	A081
MICexlqR167639-623	A082
MICexlqR167640-624	A083
MICexlqR167641-625	A084
MICexlqR167642-626	A085
MICexlqR167643-627	A086
MICexlqR167644-628	A087
MICexlqR167645-629	A088
MICexlqR167646-630	A089
MICexlqR167647-634	A090
MICexlqR167648-636	A091
MICexlqR167649-637	A092
MICexlqR167650-640	A093
MICexlqR167651-645	A094
MICexlqR167652-650	A095
MICexlqR167653-651	A096
MICexlqR167654-652	A097
MICexlqR167655-654	A098
MICexlqR167656-661	A099
MICexlqR167657-665	A100
MICexlqR167658-666	B001
MICexlqR167659-667	B002
MICexlqR167660-668	B003
MICexlqR167661-669	B004
MICexlqR167662-671	B005
MICexlqR167663-672	B006
MICexlqR167664-676	B007
MICexlqR167665-678	B008
MICexlqR167666-679	B009
MICexlqR167667-681	B010
MICexlqR167668-682	B011
MICexlqR167669-683	B012
MICexlqR167670-687	B013
MICexlqR167671-688	B014
MICexlqR167672-690	B015
MICexlqR167673-691	B016
MICexlqR167674-692	B017
MICexlqR167675-695	B018
MICexlqR167676-703	B019
MICexlqR167677-704	B020
MICexlqR167678-706	B021
MICexlqR167679-708	B022
MICexlqR167680-710	B023
MICexlqR167681-733	B024
MICexlqR167682-738	B025
MICexlqR167683-739	B026
MICexlqR167684-741	B027
MICexlqR167685-744	B028
MICexlqR167686-748	B029
MICexlqR167687-749	B030
MICexlqR167688-750	B031
MICexlqR167689-751	B032
MICexlqR167690-752	B033
MICexlqR167691-753	B034
MICexlqR167692-754	B035
MICexlqR167776-733	B036
MICexlqR167693-758	B037
MICexlqR167694-759	B038
MICexlqR167695-760	B039
MICexlqR167696-764	B040
MICexlqR167697-765	B041
MICexlqR167698-766	B042
MICexlqR167699-767	B043
MICexlqR167700-768	B044
MICexlqR167701-769	B045
MICexlqR167702-606	B046
MICexlqR167703-612	B047
MICexlqR167704-621	B048
MICexlqR167705-632	B049
MICexlqR167706-642	B050
MICexlqR167707-648	B051
MICexlqR167708-656	B052
MICexlqR167709-701	B053
MICexlqR167710-609	B054
MICexlqR167711-613	B055
MICexlqR167712-622	B056
MICexlqR167713-633	B057
MICexlqR167714-643	B058
MICexlqR167715-649	B059
MICexlqR167716-658	B060
MICexlqR167717-702	B061
MICexlqR167718-403	B062
MICexlqR167719-404	B063
MICexlqR167720-405	B064
MICexlqR167721-406	B065
MICexlqR167722-411	B066
MICexlqR167723-413	B067
MICexlqR167724-415	B068
MICexlqR167725-602	B069
MICexlqR167726-603	B070
MICexlqR167727-604	B071
